"year","geoid","ZIP_code","title_field","value"
"2013","86000US07302","07302","Median household income",98952
"2013","86000US07302","07302","Median gross rent",1674
"2013","86000US07302","07302","Total Population 5 years and over",37047
"2013","86000US07302","07302","Income in the past 12 months below poverty level",3619
"2013","86000US07302","07302","Income in the past 12 months below poverty level - Male",1560
"2013","86000US07302","07302","Income in the past 12 months below poverty level - Male - Under 5 years",69
"2013","86000US07302","07302","Income in the past 12 months below poverty level - Male - 5 years",50
"2013","86000US07302","07302","Income in the past 12 months below poverty level - Male - 6 to 11 years",123
"2013","86000US07302","07302","Income in the past 12 months below poverty level - Male - 12 to 14 years",93
"2013","86000US07302","07302","Income in the past 12 months below poverty level - Male - 15 years",78
"2013","86000US07302","07302","Income in the past 12 months below poverty level - Male - 16 and 17 years",92
"2013","86000US07302","07302","Income in the past 12 months below poverty level - Male - 18 to 24 years",120
"2013","86000US07302","07302","Income in the past 12 months below poverty level - Male - 25 to 34 years",313
"2013","86000US07302","07302","Income in the past 12 months below poverty level - Male - 35 to 44 years",159
"2013","86000US07302","07302","Income in the past 12 months below poverty level - Male - 45 to 54 years",111
"2013","86000US07302","07302","Income in the past 12 months below poverty level - Male - 55 to 64 years",100
"2013","86000US07302","07302","Income in the past 12 months below poverty level - Male - 65 to 74 years",123
"2013","86000US07302","07302","Income in the past 12 months below poverty level - Male - 75 years and over",129
"2013","86000US07302","07302","Income in the past 12 months below poverty level - Female",2059
"2013","86000US07302","07302","Income in the past 12 months below poverty level - Female - Under 5 years",63
"2013","86000US07302","07302","Income in the past 12 months below poverty level - Female - 5 years",36
"2013","86000US07302","07302","Income in the past 12 months below poverty level - Female - 6 to 11 years",126
"2013","86000US07302","07302","Income in the past 12 months below poverty level - Female - 12 to 14 years",39
"2013","86000US07302","07302","Income in the past 12 months below poverty level - Female - 15 years",9
"2013","86000US07302","07302","Income in the past 12 months below poverty level - Female - 16 and 17 years",41
"2013","86000US07302","07302","Income in the past 12 months below poverty level - Female - 18 to 24 years",398
"2013","86000US07302","07302","Income in the past 12 months below poverty level - Female - 25 to 34 years",361
"2013","86000US07302","07302","Income in the past 12 months below poverty level - Female - 35 to 44 years",250
"2013","86000US07302","07302","Income in the past 12 months below poverty level - Female - 45 to 54 years",204
"2013","86000US07302","07302","Income in the past 12 months below poverty level - Female - 55 to 64 years",213
"2013","86000US07302","07302","Income in the past 12 months below poverty level - Female - 65 to 74 years",131
"2013","86000US07302","07302","Income in the past 12 months below poverty level - Female - 75 years and over",188
"2013","86000US07302","07302","Income in the past 12 months at or above poverty level",33428
"2013","86000US07302","07302","Income in the past 12 months at or above poverty level - Male",17862
"2013","86000US07302","07302","Income in the past 12 months at or above poverty level - Male - Under 5 years",1264
"2013","86000US07302","07302","Income in the past 12 months at or above poverty level - Male - 5 years",107
"2013","86000US07302","07302","Income in the past 12 months at or above poverty level - Male - 6 to 11 years",413
"2013","86000US07302","07302","Income in the past 12 months at or above poverty level - Male - 12 to 14 years",104
"2013","86000US07302","07302","Income in the past 12 months at or above poverty level - Male - 15 years",30
"2013","86000US07302","07302","Income in the past 12 months at or above poverty level - Male - 16 and 17 years",193
"2013","86000US07302","07302","Income in the past 12 months at or above poverty level - Male - 18 to 24 years",847
"2013","86000US07302","07302","Income in the past 12 months at or above poverty level - Male - 25 to 34 years",6661
"2013","86000US07302","07302","Income in the past 12 months at or above poverty level - Male - 35 to 44 years",4154
"2013","86000US07302","07302","Income in the past 12 months at or above poverty level - Male - 45 to 54 years",1948
"2013","86000US07302","07302","Income in the past 12 months at or above poverty level - Male - 55 to 64 years",1135
"2013","86000US07302","07302","Income in the past 12 months at or above poverty level - Male - 65 to 74 years",647
"2013","86000US07302","07302","Income in the past 12 months at or above poverty level - Male - 75 years and over",359
"2013","86000US07302","07302","Income in the past 12 months at or above poverty level - Female",15566
"2013","86000US07302","07302","Income in the past 12 months at or above poverty level - Female - Under 5 years",1196
"2013","86000US07302","07302","Income in the past 12 months at or above poverty level - Female - 5 years",126
"2013","86000US07302","07302","Income in the past 12 months at or above poverty level - Female - 6 to 11 years",537
"2013","86000US07302","07302","Income in the past 12 months at or above poverty level - Female - 12 to 14 years",190
"2013","86000US07302","07302","Income in the past 12 months at or above poverty level - Female - 15 years",46
"2013","86000US07302","07302","Income in the past 12 months at or above poverty level - Female - 16 and 17 years",101
"2013","86000US07302","07302","Income in the past 12 months at or above poverty level - Female - 18 to 24 years",711
"2013","86000US07302","07302","Income in the past 12 months at or above poverty level - Female - 25 to 34 years",5945
"2013","86000US07302","07302","Income in the past 12 months at or above poverty level - Female - 35 to 44 years",3009
"2013","86000US07302","07302","Income in the past 12 months at or above poverty level - Female - 45 to 54 years",1417
"2013","86000US07302","07302","Income in the past 12 months at or above poverty level - Female - 55 to 64 years",1045
"2013","86000US07302","07302","Income in the past 12 months at or above poverty level - Female - 65 to 74 years",629
"2013","86000US07302","07302","Income in the past 12 months at or above poverty level - Female - 75 years and over",614
"2013","86000US07302","07302","Gini Index","0.4624"
"2013","86000US07304","07304","Median household income",44104
"2013","86000US07304","07304","Median gross rent",1009
"2013","86000US07304","07304","Total Population 5 years and over",40650
"2013","86000US07304","07304","Income in the past 12 months below poverty level",8927
"2013","86000US07304","07304","Income in the past 12 months below poverty level - Male",3953
"2013","86000US07304","07304","Income in the past 12 months below poverty level - Male - Under 5 years",584
"2013","86000US07304","07304","Income in the past 12 months below poverty level - Male - 5 years",50
"2013","86000US07304","07304","Income in the past 12 months below poverty level - Male - 6 to 11 years",652
"2013","86000US07304","07304","Income in the past 12 months below poverty level - Male - 12 to 14 years",128
"2013","86000US07304","07304","Income in the past 12 months below poverty level - Male - 15 years",8
"2013","86000US07304","07304","Income in the past 12 months below poverty level - Male - 16 and 17 years",293
"2013","86000US07304","07304","Income in the past 12 months below poverty level - Male - 18 to 24 years",549
"2013","86000US07304","07304","Income in the past 12 months below poverty level - Male - 25 to 34 years",563
"2013","86000US07304","07304","Income in the past 12 months below poverty level - Male - 35 to 44 years",351
"2013","86000US07304","07304","Income in the past 12 months below poverty level - Male - 45 to 54 years",384
"2013","86000US07304","07304","Income in the past 12 months below poverty level - Male - 55 to 64 years",199
"2013","86000US07304","07304","Income in the past 12 months below poverty level - Male - 65 to 74 years",105
"2013","86000US07304","07304","Income in the past 12 months below poverty level - Male - 75 years and over",87
"2013","86000US07304","07304","Income in the past 12 months below poverty level - Female",4974
"2013","86000US07304","07304","Income in the past 12 months below poverty level - Female - Under 5 years",292
"2013","86000US07304","07304","Income in the past 12 months below poverty level - Female - 5 years",193
"2013","86000US07304","07304","Income in the past 12 months below poverty level - Female - 6 to 11 years",435
"2013","86000US07304","07304","Income in the past 12 months below poverty level - Female - 12 to 14 years",230
"2013","86000US07304","07304","Income in the past 12 months below poverty level - Female - 15 years",127
"2013","86000US07304","07304","Income in the past 12 months below poverty level - Female - 16 and 17 years",95
"2013","86000US07304","07304","Income in the past 12 months below poverty level - Female - 18 to 24 years",590
"2013","86000US07304","07304","Income in the past 12 months below poverty level - Female - 25 to 34 years",863
"2013","86000US07304","07304","Income in the past 12 months below poverty level - Female - 35 to 44 years",624
"2013","86000US07304","07304","Income in the past 12 months below poverty level - Female - 45 to 54 years",709
"2013","86000US07304","07304","Income in the past 12 months below poverty level - Female - 55 to 64 years",413
